Element Code,Element
511,Total Population - Both sexes (1000 No)
512,Total Population - Male (1000 No)
513,Total Population - Female (1000 No)
551,Rural population (1000 No)
561,Urban population (1000 No)
152,Gross Production Value (constant 2014-2016 thousand I$) (1000 Int. $)
56,Gross Production Value (current thousand SLC) (1000 SLC)
57,Gross Production Value (current thousand US$) (1000 USD)
55,Gross Production Value (constant 2014-2016 thousand SLC) (1000 SLC)
58,Gross Production Value (constant 2014-2016 thousand US$) (1000 USD)
5312,Area harvested (ha)
5419,Yield (100 g/ha)
5510,Production (t)
5114,Stocks (No)
5314,Prod Popultn (No)
5111,Stocks (An)
5320,Producing Animals/Slaughtered (An)
5112,Stocks (1000 An)
5313,Laying (1000 An)
5410,Yield (100 mg/An)
5413,Yield (No/An)
5513,Production (1000 No)
5417,Yield/Carcass Weight (100 g/An)
5424,Yield/Carcass Weight (0.1 g/An)
5321,Producing Animals/Slaughtered (1000 An)
5422,Yield (100 g)
5420,Yield (100 g/An)
5318,Milk Animals (An)
6199,Value (1000 No)
6228,Value (USD)
6121,Value (%)
6173,Value (No)
